"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2022-08-01","4","719","50","0.06954102920723226","6","2","5","6","0","1","15","0","0","0","0","0","0","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-02","8","874","64","0.07322654462242563","15","7","10","11","0","0","2","0","0","0","0","0","0","19","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-03","5","393","40","0.10178117048346055","7","5","12","2","0","0","1","0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-04","8","535","33","0.0616822429906542","7","9","9","2","0","0","5","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-05","4","413","35","0.0847457627118644","15","3","12","2","0","0","1","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-06","23","2576","87","0.03377329192546584","12","14","27","14","0","0","19","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-07","15","2007","68","0.03388141504733433","5","8","15","17","0","0","20","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-08","27","8822","304","0.03445930627975516","14","21","145","68","0","1","44","0","0","0","1","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-09","10","1055","74","0.07014218009478673","7","9","47","7","0","0","4","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-10","13","971","39","0.04016477857878476","4","4","14","14","0","0","0","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-11","7","948","62","0.06540084388185655","16","7","26","3","1","0","9","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-12","8","1423","37","0.02600140548137737","9","5","12","3","0","0","7","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-13","2","391","2","0.005115089514066497","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-14","1","141","4","0.028368794326241134","0","0","2","0","0","0","1","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-15","0","64","3","0.046875","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-16","1","81","4","0.04938271604938271","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-17","2","278","4","0.014388489208633094","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-18","8","861","22","0.025551684088269456","5","5","4","3","2","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-19","2","636","24","0.03773584905660377","10","4","5","1","0","0","4","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-20","2","328","23","0.0701219512195122","10","3","4","1","0","0","5","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-21","0","53","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-22","0","39","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-23","0","41","1","0.024390243902439025","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-24","0","31","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-25","0","27","1","0.037037037037037035","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-26","0","174","3","0.017241379310344827","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-27","1","36","2","0.05555555555555555","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-28","0","34","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-29","4","188","5","0.026595744680851064","0","0","1","2","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-30","9","679","21","0.030927835051546393","4","6","7","2","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-08-31","20","1741","148","0.08500861573808156","8","5","16","7","2","0","4","0","0","0","0","0","0","106","106","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
